"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"s1" 0 77 78 13 0 0 1415 0 1 435 174 0 81 5 22 1483 0 153 0 0 7 11 3 0 0 1301 558 174 0 150 56 0 802 3854 0 0 1057 29 21 47 835 9 0 22 0 0 0 0 2936 0
"s2" 0 0 0 0 0 0 0 4 0 0 0 0 0 0 11 0 19 0 0 0 0 4 0 0 1574 0 0 0 283 33 0 100 0 0 0 135 0 0 0 0 0 0 0 168 14 17 0 0 0 0
"s3" 1935 0 0 0 16 7 0 185 0 0 0 1654 0 0 0 6 0 86 0 14 2 0 0 47 0 0 23 0 12 0 7 0 11 0 0 0 105 0 114 0 0 0 0 0 111 9 0 0 232 0
"s4" 0 91 1716 67 0 0 0 0 1 17 0 0 0 517 23 0 0 120 0 0 0 0 47 26 0 0 48 75 0 630 0 0 31 0 0 0 24 944 0 224 123 5 3356 8 0 37 15 0 0 3790
"s5" 3 17 0 0 93 6 0 3 5 12 0 0 0 0 0 0 446 3 0 0 0 0 180 112 0 0 0 18 0 0 0 0 0 0 0 0 0 61 0 0 14 0 14 12 55 194 0 70 11 0
"s6" 0 19 0 1327 0 3 545 6 0 0 249 125 0 25 32 20 0 0 1 0 6 0 0 0 25 1131 577 0 106 0 5 207 9 0 4 0 0 0 3251 7 23 0 0 0 99 0 0 0 0 24
"s7" 27 2045 0 29 32 0 81 0 0 47 0 99 345 0 0 1 0 198 0 0 998 0 2 10 0 0 0 9 0 10 10 11 29 0 0 164 0 608 0 0 23 46 12 0 43 344 126 0 0 6
"s8" 0 0 125 0 0 0 0 41 0 0 39 19 0 25 13 0 0 210 0 0 0 0 0 2 72 0 0 0 17 0 0 0 0 0 5 365 29 444 47 0 0 0 75 219 0 0 0 1 0 0
"s9" 1205 0 165 29 14 2 38 0 0 0 9 5 16 8 36 1033 62 89 0 16 1652 0 0 89 53 0 0 8 6 0 5 0 0 0 7 0 0 0 0 89 73 7 0 0 0 0 139 0 326 0
"s10" 462 0 860 86 3 1 16 9 0 114 3054 169 1 0 1076 399 28 116 0 3 558 17 2456 43 102 0 0 7 269 0 0 0 0 0 54 60 1170 49 9 31 39 149 0 0 54 17 47 1 102 0
"s11" 3 0 0 37 0 0 253 0 0 26 0 93 7 129 0 48 0 0 0 0 0 0 429 41 1138 379 0 0 0 12 76 0 20 0 383 236 10 37 11 128 107 10 0 0 0 0 2521 7 3 14
"s12" 0 62 129 8 48 7 102 3403 0 9 7 24 3 2454 0 8 0 1 0 6 4 4 149 32 357 123 960 0 3 11 30 67 2196 0 109 60 0 16 20 56 40 39 0 0 15 0 776 3 76 1
"s13" 44 0 0 0 8 296 0 16 3 0 21 168 2070 501 0 0 13 0 6 322 1 2 173 3 70 0 0 10 899 0 0 0 278 4 2 12 0 272 7 53 0 5 2 74 169 338 33 0 0 0
"s14" 13 0 0 0 20 1815 5 4 5 0 11 62 637 161 56 70 9 0 1 101 197 0 63 5 18 0 0 21 268 407 3 0 80 0 0 251 43 90 35 1634 0 9 3 20 582 89 10 7 0 2
"s15" 0 982 0 97 0 0 10 0 3158 0 31 0 96 73 839 69 0 0 1 2 0 2724 284 0 91 22 167 731 0 6 0 0 19 0 0 0 0 170 212 2 131 145 0 0 0 0 27 1 7 0
"s16" 200 302 114 58 164 8 0 3 959 0 12 0 32 23 235 14 0 18 0 5 14 916 108 2 23 355 451 242 4 9 0 0 21 73 1898 16 0 63 78 0 33 57 0 28 18 501 7 9 23 4
"s17" 4 204 0 23 2294 421 42 0 7 99 197 108 0 0 0 0 583 5 0 28 5 0 0 13 0 0 439 9 2 118 0 87 11 8 0 0 669 78 6 5 80 0 0 0 99 184 77 0 111 0
"s18" 3 169 0 9 684 1367 20 0 1 92 68 150 0 5 9 0 2118 2 2 88 5 2 6 32 0 0 151 41 0 382 0 43 5 1 0 0 207 249 6 12 83 0 0 0 93 555 31 0 65 0
"s19" 0 17 24 121 411 38 0 149 4 15 0 707 7 30 130 713 272 5 0 10 490 5 0 2808 14 101 42 163 8 25 1 392 10 13 0 89 21 90 0 24 859 4 0 669 143 89 15 0 26 0
"s20" 0 28 14 243 131 9 0 61 2 4 6 219 1 11 380 200 73 3 1 7 144 14 0 836 0 30 0 49 17 26 0 844 6 9 0 68 0 47 5 11 255 16 0 197 62 175 10 0 13 0
"s21" 16 0 0 38 20 1 13 34 6 120 0 24 0 30 279 28 0 29 0 42 0 0 23 12 66 34 36 0 271 6 0 0 0 4 0 0 59 16 81 31 0 537 279 261 33 361 85 2 25 0
"s22" 29 0 0 129 82 0 41 13 2 252 0 15 0 102 99 11 0 69 0 128 0 3 75 6 14 30 15 0 109 9 4 0 0 0 0 0 209 0 55 93 0 1778 78 882 90 128 67 2 47 2
"s23" 3 30 87 0 11 16 1138 14 0 10 8 0 440 8 17 11 32 7 0 18 6 0 0 0 10 83 17 51 0 0 0 140 45 0 1 0 114 100 7 2 171 25 0 939 184 68 23 0 46 13
"s24" 5 18 267 4 17 13 352 6 0 9 17 0 132 0 9 35 49 0 0 60 6 0 0 0 28 28 64 7 0 0 0 331 12 2 2 15 136 341 19 9 65 31 0 319 61 36 59 4 63 11
"s25" 52 0 10 0 7 138 0 0 0 9 8 65 16 0 21 0 0 2 4150 3185 2 297 2 2 0 0 0 10 5 0 0 7 0 0 0 0 0 0 160 0 16 16 8 0 0 0 8 0 9 0
"s26" 0 0 355 28 2 0 0 16 4 8 250 377 0 28 0 13 203 0 0 0 0 0 11 0 0 12 0 55 0 0 0 275 59 0 1493 0 0 190 0 1679 253 0 301 56 0 190 0 0 5 0
"s27" 0 40 0 0 0 4 0 157 0 0 0 0 92 0 0 2 6 0 0 3 62 4 3 0 0 68 484 112 9 298 3966 0 0 43 2 11 42 0 0 0 909 0 11 0 0 134 76 1 0 115
"s28" 112 0 11 1405 26 0 0 0 3 186 0 30 27 0 12 0 8 0 0 0 0 120 24 0 0 0 0 146 1876 98 0 14 0 84 0 1642 0 0 0 4 0 769 4 24 25 0 0 39 7 0
"s29" 0 0 0 96 19 0 35 0 0 17 0 30 0 11 8 0 0 0 0 2 7 0 118 45 0 454 0 0 0 63 1 180 4 1 205 1012 0 49 22 25 17 0 5 0 2187 572 6 1 7 24
